rank,feature,mean_abs_shap,mean_shap,positive_shap_pct_nonzero,negative_shap_pct_nonzero,zero_shap_pct,direction_consistency_pct,direction_consistency_label,mean_feature_value,median_feature_value,overall_direction
58,std_ic_mou_change_7_to_8,0.017739959061145782,-0.004236237145960331,38.56,61.44,0.0,61.44,Moderately consistent,-0.4497340000000001,0.0,Negative average contribution
59,std_ic_mou_change_6_to_8,0.017733899876475334,-0.00430939020588994,31.14,68.86,0.0,68.86,Moderately consistent,2.192703,0.0,Negative average contribution
60,std_og_t2t_mou_8,0.01753402315080166,-0.0017324915388599038,37.04,62.96000000000001,0.0,62.96000000000001,Moderately consistent,80.62643999999999,0.0,Negative average contribution
61,loc_og_mou_pct_change_6_to_8,0.017490917816758156,-0.006081186700612307,50.44,49.559999999999995,0.0,50.44,Mixed,2.0166164776738484,-0.0605449195457992,Negative average contribution
62,recharge_amount_std_6_8,0.01747122034430504,-0.006570426747202873,37.230000000000004,62.77,0.0,62.77,Moderately consistent,121.95404328553258,83.73503097828203,Negative average contribution
63,std_og_t2m_mou_6,0.016812637448310852,-0.00595818879082799,46.25,53.75,0.0,53.75,Mixed,86.52370900000001,3.96,Negative average contribution
64,total_ic_mou_pct_change_6_to_8,0.01669149287045002,-0.00786170456558466,29.98,70.02000000000001,0.0,70.02000000000001,Moderately consistent,2.9966433020843555,-0.048973712639539,Negative average contribution
65,voice_rech_recency_8_high_flag,0.016377002000808716,-0.005484511144459248,44.18,55.82,0.0,55.82,Mixed,0.4443,0.0,Negative average contribution
66,loc_og_t2t_mou_8,0.016043609008193016,-0.001519273268058896,42.41,57.589999999999996,0.0,57.589999999999996,Mixed,42.913328,11.76,Negative average contribution
67,total_ic_mou_change_7_to_8,0.01600773073732853,-0.003382152644917369,29.98,70.02000000000001,0.0,70.02000000000001,Moderately consistent,-4.4602070000000005,0.0,Negative average contribution
68,loc_og_mou_min_6_8,0.015701686963438988,0.005524247419089079,61.68,38.32,0.0,61.68,Moderately consistent,90.13864699999999,31.91,Positive average contribution
69,offnet_mou_8,0.015669533982872963,0.0008285698131658137,49.14,50.86000000000001,0.0,50.86000000000001,Mixed,193.092581,91.63,Positive average contribution
70,total_voice_mou_6,0.01565985381603241,-0.0077286590822041035,16.0,84.0,0.0,84.0,Strongly consistent,505.656951,315.42,Negative average contribution
71,total_voice_mou_7,0.015638768672943115,-0.00837448425590992,20.349999999999998,79.65,0.0,79.65,Strongly consistent,512.8661109999999,316.53,Negative average contribution
72,total_activity_7,0.015588458627462387,-0.008112645708024502,12.78,87.22,0.0,87.22,Strongly consistent,692.469279,425.405,Negative average contribution
73,arpu_recent_vs_baseline,0.015427304431796074,0.0011439615627750754,47.12,52.88,0.0,52.88,Mixed,-0.5689130999999998,-3.946000000000005,Positive average contribution
74,arpu_change_7_to_8,0.01531125046312809,-0.0022829766385257244,27.73,72.27,0.0,72.27,Moderately consistent,2.3905480000000003,0.0,Negative average contribution
75,std_ic_t2t_mou_8,0.015094883739948273,0.001198822632431984,25.71,74.29,0.0,74.29,Moderately consistent,10.285782,0.0,Positive average contribution
76,loc_ic_t2t_mou_8,0.015018614009022713,-0.008028985001146793,26.169999999999998,73.83,0.0,73.83,Moderately consistent,44.74655,16.04,Negative average contribution
77,total_ic_mou_7,0.013881638646125793,-0.0014248747611418366,20.549999999999997,79.45,0.0,79.45,Strongly consistent,201.14412400000003,115.785,Negative average contribution
78,loc_og_t2f_mou_7,0.013810626231133938,-0.0023561168927699327,63.68000000000001,36.32,0.0,63.68000000000001,Moderately consistent,3.7473339999999995,0.0,Negative average contribution
79,roam_og_mou_std_6_8,0.013809232972562313,-0.006247705779969692,28.060000000000002,71.94,0.0,71.94,Moderately consistent,9.45136295409831,0.0,Negative average contribution
80,arpu_change_6_to_8,0.013547686859965324,0.00180225376971066,37.230000000000004,62.77,0.0,62.77,Moderately consistent,-4.0972873000000005,-1.3279999999999887,Positive average contribution
81,total_activity_change_6_to_8,0.013382376171648502,-0.0034696406219154596,30.18,69.82000000000001,0.0,69.82000000000001,Moderately consistent,2.859731999999998,0.0,Negative average contribution
82,loc_ic_t2f_mou_7,0.013148837722837925,0.001659556059166789,58.28,41.72,0.0,58.28,Mixed,12.0880625,0.905,Positive average contribution
83,std_og_mou_6,0.013019148260354996,-0.00442942138761282,36.77,63.23,0.0,63.23,Moderately consistent,164.65280800000002,11.64,Negative average contribution
84,loc_ic_mou_std_6_8,0.012951848097145557,-0.0007201925618574023,47.03,52.96999999999999,0.0,52.96999999999999,Mixed,46.88705174930428,25.936039704541543,Negative average contribution
85,recharge_num_pct_change_6_to_8,0.0128676388412714,-0.0017556905513629317,29.160000000000004,70.84,0.0,70.84,Moderately consistent,0.38660177348045077,-0.0769230769230769,Negative average contribution
86,roam_ic_mou_change_6_to_8,0.012713465839624405,0.0038639723788946867,73.24000000000001,26.76,0.0,73.24000000000001,Moderately consistent,-2.6896989999999996,0.0,Positive average contribution
87,loc_og_mou_change_6_to_8,0.012540609575808048,-0.007243380881845951,31.59,68.41000000000001,0.0,68.41000000000001,Moderately consistent,-3.6266010000000004,0.0,Negative average contribution
88,recharge_amt_pct_change_7_to_8,0.01252344623208046,-0.0023812889121472836,35.77,64.23,0.0,64.23,Moderately consistent,0.2642441320250335,-0.0188679245283018,Negative average contribution
89,loc_og_mou_change_7_to_8,0.012416258454322815,0.004865278489887714,66.31,33.69,0.0,66.31,Moderately consistent,-1.6636309999999999,0.0,Positive average contribution
90,std_ic_mou_pct_change_6_to_8,0.012409506365656853,-0.0016076809260994196,31.230000000000004,68.77,0.0,68.77,Moderately consistent,3.8139330014473365,-0.2764112131492341,Negative average contribution
91,vol_2g_mb_pct_change_6_to_8,0.012369225732982159,-0.006387620698660612,42.22,57.78,0.0,57.78,Mixed,18.365726223941273,-0.588925372814451,Negative average contribution
92,total_og_mou_8,0.01229921169579029,-0.005734351463615894,34.01,65.99000000000001,0.0,65.99000000000001,Moderately consistent,307.25299900000005,135.675,Negative average contribution
93,total_og_mou_7,0.01220391783863306,-0.001977866282686591,35.709999999999994,64.29,0.0,64.29,Moderately consistent,311.721987,139.91,Negative average contribution
94,arpu_pct_change_7_to_8,0.011847825720906258,0.006743467878550291,75.07000000000001,24.93,0.0,75.07000000000001,Strongly consistent,22.661486638620246,-0.0147663861630591,Positive average contribution
95,total_og_mou_pct_change_6_to_8,0.011785559356212616,-0.008384568616747856,27.55,72.45,0.0,72.45,Moderately consistent,9.055837359780542,-0.0864115286649873,Negative average contribution
96,recharge_count_recent_vs_baseline_pct,0.011744266375899315,-0.00233820010907948,38.379999999999995,61.62,0.0,61.62,Moderately consistent,-0.0644764215161738,-0.0769230769230768,Negative average contribution
97,last_day_rch_amt_7,0.011609354987740517,-0.000771608087234199,47.47,52.53,0.0,52.53,Mixed,58.7788,30.0,Negative average contribution
98,loc_og_t2m_mou_7,0.01153438352048397,-0.0009301757090725005,53.010000000000005,46.989999999999995,0.0,53.010000000000005,Mixed,88.53139399999999,40.29,Negative average contribution
99,loc_ic_t2t_mou_7,0.011488480493426323,0.0003428213531151414,49.91,50.09,0.0,50.09,Mixed,46.107174,15.63,Positive average contribution
100,loc_og_mou_pct_change_7_to_8,0.011393004097044468,0.001884731464087963,60.519999999999996,39.48,0.0,60.519999999999996,Moderately consistent,1.6069603603045548,-0.0402439134340378,Positive average contribution
101,loc_og_t2c_mou_8,0.011236108839511871,-0.0002589093055576086,10.82,89.18,0.0,89.18,Strongly consistent,1.394391,0.0,Negative average contribution
102,loc_ic_t2m_mou_7,0.011192784644663334,-0.004421922378242016,39.36,60.64000000000001,0.0,60.64000000000001,Moderately consistent,104.142523,56.68,Negative average contribution
103,roam_ic_mou_std_6_8,0.01111594308167696,0.005492925178259611,79.77,20.23,0.0,79.77,Strongly consistent,6.400552677305505,0.0,Positive average contribution
104,total_og_mou_change_7_to_8,0.011108623817563057,-0.003851882182061672,40.63,59.37,0.0,59.37,Mixed,-4.468987999999999,0.0,Negative average contribution
