model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.0030221091140448545,0.19144460028050492,0.8677734829021442
Logistic Regression,ROC,0.0031016383012565612,0.19144460028050492,0.8677531451797296
Logistic Regression,ROC,0.0031016383012565612,0.19214586255259467,0.8676040722689594
Logistic Regression,ROC,0.003181167488468268,0.19214586255259467,0.8671146979404342
Logistic Regression,ROC,0.003181167488468268,0.19284712482468444,0.8668721370259718
Logistic Regression,ROC,0.0032606966756799746,0.19284712482468444,0.8666283843556886
Logistic Regression,ROC,0.0032606966756799746,0.20546984572230015,0.8600042372948657
Logistic Regression,ROC,0.0033402258628916813,0.20546984572230015,0.8599809345474418
Logistic Regression,ROC,0.0033402258628916813,0.21248246844319776,0.8558743636878706
Logistic Regression,ROC,0.003419755050103388,0.21248246844319776,0.8556792620574107
Logistic Regression,ROC,0.003419755050103388,0.2138849929873773,0.8554930209326614
Logistic Regression,ROC,0.0034992842373150947,0.2138849929873773,0.855437688771386
Logistic Regression,ROC,0.0034992842373150947,0.2152875175315568,0.8552761155962011
Logistic Regression,ROC,0.0035788134245268014,0.2152875175315568,0.8551438979673607
Logistic Regression,ROC,0.0035788134245268014,0.21739130434782608,0.8545785274425962
Logistic Regression,ROC,0.003658342611738508,0.21739130434782608,0.8543167825921445
Logistic Regression,ROC,0.003658342611738508,0.21949509116409538,0.8533319526750366
Logistic Regression,ROC,0.003737871798950215,0.21949509116409538,0.85316954039899
Logistic Regression,ROC,0.003737871798950215,0.22019635343618513,0.8528644228723196
Logistic Regression,ROC,0.0038174009861619215,0.22019635343618513,0.8526903607834057
Logistic Regression,ROC,0.0038174009861619215,0.22510518934081347,0.8506341276020789
Logistic Regression,ROC,0.0038969301733736282,0.22510518934081347,0.8505593684765826
Logistic Regression,ROC,0.0038969301733736282,0.22931276297335204,0.8490111268556341
Logistic Regression,ROC,0.004055988547797041,0.22931276297335204,0.8485481783684372
Logistic Regression,ROC,0.004055988547797041,0.2314165497896213,0.8463610383952833
Logistic Regression,ROC,0.004135517735008748,0.2314165497896213,0.8457643067566919
Logistic Regression,ROC,0.004135517735008748,0.2370266479663394,0.8430080470106794
Logistic Regression,ROC,0.004215046922220455,0.2370266479663394,0.8427354144110218
Logistic Regression,ROC,0.004215046922220455,0.23772791023842918,0.8414449962251105
Logistic Regression,ROC,0.004374105296643868,0.23772791023842918,0.8400418454728736
Logistic Regression,ROC,0.004374105296643868,0.24053295932678823,0.8381589532770028
Logistic Regression,ROC,0.004453634483855575,0.24053295932678823,0.837848048487242
Logistic Regression,ROC,0.004453634483855575,0.24123422159887797,0.8376648163338988
Logistic Regression,ROC,0.004533163671067281,0.24123422159887797,0.8375899020488421
Logistic Regression,ROC,0.004533163671067281,0.25806451612903225,0.8272066379648789
Logistic Regression,ROC,0.004771751232702402,0.25806451612903225,0.8263825867118858
Logistic Regression,ROC,0.004771751232702402,0.26367461430575034,0.8253292663060122
Logistic Regression,ROC,0.004851280419914108,0.26367461430575034,0.824577739606472
Logistic Regression,ROC,0.004851280419914108,0.2643758765778401,0.8240840351981027
Logistic Regression,ROC,0.004930809607125815,0.2643758765778401,0.8240696354100073
Logistic Regression,ROC,0.004930809607125815,0.26858345021037866,0.8216970484229927
Logistic Regression,ROC,0.005010338794337522,0.26858345021037866,0.8215088003552947
Logistic Regression,ROC,0.005010338794337522,0.2699859747545582,0.8212519663077369
Logistic Regression,ROC,0.005089867981549229,0.2699859747545582,0.8209319567851124
Logistic Regression,ROC,0.005089867981549229,0.27489481065918653,0.81886474823901
Logistic Regression,ROC,0.005169397168760935,0.27489481065918653,0.8176719077254155
Logistic Regression,ROC,0.005169397168760935,0.28330995792426367,0.8143172147416294
Logistic Regression,ROC,0.005328455543184348,0.28330995792426367,0.8118121834733562
Logistic Regression,ROC,0.005328455543184348,0.28401122019635344,0.8117829541183569
Logistic Regression,ROC,0.0054079847303960555,0.28401122019635344,0.8115559399317314
Logistic Regression,ROC,0.0054079847303960555,0.288218793828892,0.8087650766451266
Logistic Regression,ROC,0.005487513917607762,0.288218793828892,0.8082487510131297
Logistic Regression,ROC,0.005487513917607762,0.29312762973352036,0.8045592812908472
Logistic Regression,ROC,0.005567043104819469,0.29312762973352036,0.8044356716884398
