model,candidate_id,fold,train_pr_auc,validation_pr_auc,validation_roc_auc,precision_at_0_50,recall_at_0_50,f1_at_0_50,top10_capture,top10_lift,fit_seconds
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,5,0.8571898915993581,0.7583969242277789,0.9488618946133459,0.7530487804878049,0.64943032427695,0.6974117647058824,0.6993865030674846,6.9932405784399645,7.496334700030275
XGBoost,XGB_00_BASELINE,1,0.9100412228037943,0.7702649777293843,0.9536208760948442,0.7537091988130564,0.6678352322524101,0.70817843866171,0.7125328659070991,7.12532865907099,5.341766500030644
XGBoost,XGB_00_BASELINE,2,0.904456211038361,0.7750244015961194,0.9565758344784179,0.7603305785123967,0.6450482033304119,0.6979611190137506,0.7090271691498685,7.090271691498685,5.223215500009246
XGBoost,XGB_00_BASELINE,3,0.905529331443232,0.7751919292278552,0.9557353943024499,0.7775467775467776,0.6555652936021035,0.7113647170708511,0.7177914110429447,7.177914110429448,5.557344599976204
XGBoost,XGB_00_BASELINE,4,0.9064004468088683,0.7801203795871681,0.957221321240483,0.7588652482269503,0.6558669001751314,0.7036167214654767,0.7189141856392294,7.189141856392293,6.538154699956067
XGBoost,XGB_00_BASELINE,5,0.911695336843043,0.7594575422077162,0.9493613640360058,0.7505154639175258,0.6380368098159509,0.689720511605874,0.6993865030674846,6.9932405784399645,4.8431944999611005
XGBoost,XGB_01_MORE_TREES,1,0.9249041169846035,0.7687890509892258,0.9534772885549316,0.7584158415841584,0.6713409290096407,0.7122268712226871,0.7125328659070991,7.12532865907099,6.347634699894115
XGBoost,XGB_01_MORE_TREES,2,0.9212708765232065,0.7776732427534411,0.956786772241845,0.7619047619047619,0.6450482033304119,0.6986236355007119,0.7107800175284837,7.107800175284838,7.177008099970408
XGBoost,XGB_01_MORE_TREES,3,0.919988908755653,0.7749741699964227,0.9560054050950401,0.7725856697819314,0.6520595968448729,0.7072243346007605,0.7169149868536372,7.169149868536372,6.545007699984126
XGBoost,XGB_01_MORE_TREES,4,0.9238518634725504,0.7856870410472004,0.9571265121141512,0.7697768762677485,0.6646234676007006,0.7133458646616542,0.7215411558669002,7.215411558669002,8.091944300103933
XGBoost,XGB_01_MORE_TREES,5,0.9235610046865625,0.7605561742343715,0.9489631478354552,0.748712667353244,0.6371603856266433,0.6884469696969697,0.6976336546888694,6.975713659697008,6.867397299967706
XGBoost,XGB_02_SLOWER_MORE_TREES,1,0.9126398102051171,0.7755134615451513,0.9546913351454289,0.7638190954773869,0.6660823838737949,0.7116104868913857,0.7099035933391762,7.099035933391762,8.346272299997509
XGBoost,XGB_02_SLOWER_MORE_TREES,2,0.9085518241355549,0.7801298445772392,0.9573697481092929,0.7595854922279792,0.642418930762489,0.6961063627730294,0.7055214723926381,7.0552147239263805,7.372108199982904
XGBoost,XGB_02_SLOWER_MORE_TREES,3,0.9131469332147855,0.7800063043289719,0.9572629287379745,0.7794715447154471,0.6722173531989483,0.7218823529411764,0.7186678352322524,7.186678352322524,7.808675199979916
XGBoost,XGB_02_SLOWER_MORE_TREES,4,0.913420423350294,0.7865865273576819,0.9588784350243196,0.7796257796257796,0.6567425569176882,0.7129277566539924,0.7267950963222417,7.267950963222417,7.984761899919249
XGBoost,XGB_02_SLOWER_MORE_TREES,5,0.9218349138002814,0.7623266756880425,0.9503963776093399,0.7479591836734694,0.642418930762489,0.6911834040546911,0.6993865030674846,6.9932405784399645,8.175821300013922
XGBoost,XGB_03_SHALLOWER,1,0.8311489564743313,0.7771133928976817,0.9536192206559737,0.7657200811359026,0.6617002629272568,0.7099200752233192,0.7134092900964066,7.134092900964067,3.6864792000269517
XGBoost,XGB_03_SHALLOWER,2,0.8308140900994873,0.7810419825782651,0.9574276013413935,0.768586387434555,0.6432953549517967,0.700381679389313,0.7099035933391762,7.099035933391762,4.078088599955663
XGBoost,XGB_03_SHALLOWER,3,0.8308404205427279,0.7716968198906649,0.9553766868377537,0.762993762993763,0.6432953549517967,0.6980504041844984,0.7134092900964066,7.134092900964067,3.7958705000346527
XGBoost,XGB_03_SHALLOWER,4,0.8299608131851036,0.7820606280999113,0.9578440665854332,0.7778947368421053,0.6471103327495622,0.7065009560229446,0.7241681260945709,7.241681260945709,4.0054417999926955
XGBoost,XGB_03_SHALLOWER,5,0.8364990469911072,0.7594653009965304,0.9492311813218653,0.7505154639175258,0.6380368098159509,0.689720511605874,0.6993865030674846,6.9932405784399645,4.487391300033778
XGBoost,XGB_04_DEEPER,1,0.9925289864832791,0.7636859068287302,0.9510967674593691,0.7618069815195072,0.6503067484662577,0.7016548463356974,0.7116564417177914,7.116564417177915,11.570517800049856
XGBoost,XGB_04_DEEPER,2,0.9907484889170011,0.7748477438044834,0.9559538251049746,0.7641509433962265,0.6389132340052586,0.6959427207637231,0.7028921998247152,7.028921998247152,11.370194799965248
XGBoost,XGB_04_DEEPER,3,0.9932839350972831,0.7727097835022232,0.9551307670371452,0.7800429184549357,0.6371603856266433,0.7013989387361312,0.7134092900964066,7.134092900964067,11.748288700007834
XGBoost,XGB_04_DEEPER,4,0.9912409720961725,0.7834110044281253,0.9574293093055027,0.7801268498942917,0.6462346760070052,0.7068965517241379,0.7171628721541156,7.171628721541155,11.929957799962722
XGBoost,XGB_04_DEEPER,5,0.9939084359673502,0.7554299050097353,0.948496354796867,0.75,0.6310254163014899,0.6853879105188005,0.6976336546888694,6.975713659697008,19.221126699936576
XGBoost,XGB_05_MIN_CHILD,1,0.9120811764486804,0.7727397997026434,0.9531451988047035,0.7629482071713147,0.6713409290096407,0.7142191142191142,0.7090271691498685,7.090271691498685,8.089597800048068
XGBoost,XGB_05_MIN_CHILD,2,0.9100804769568028,0.7781552186123467,0.9576945626413277,0.7556237218813906,0.6476774758983348,0.6974988201982067,0.7116564417177914,7.116564417177915,10.180439400020987
XGBoost,XGB_05_MIN_CHILD,3,0.9132356749045337,0.7743013598570402,0.9567044795043165,0.7708757637474541,0.663453111305872,0.7131417804992934,0.7072743207712533,7.072743207712533,10.009347700048238
XGBoost,XGB_05_MIN_CHILD,4,0.9140412493963395,0.7822156052828004,0.9571180672241106,0.7680412371134021,0.6523642732049036,0.7054924242424242,0.7189141856392294,7.189141856392293,7.4632455999962986
XGBoost,XGB_05_MIN_CHILD,5,0.9172908988557197,0.758359007912849,0.9493562229515786,0.746938775510204,0.6415425065731815,0.6902404526166902,0.6985100788781771,6.984477119068487,6.717883000033908
XGBoost,XGB_06_SUBSAMPLED,1,0.9306178709346822,0.7701726779241285,0.9530074924291988,0.7558257345491388,0.6538124452234881,0.7011278195488722,0.708150744960561,7.08150744960561,6.62731959996745
XGBoost,XGB_06_SUBSAMPLED,2,0.92394206390004,0.7743740945820962,0.9561511708439921,0.7661122661122661,0.6459246275197196,0.7009034712315739,0.7116564417177914,7.116564417177915,7.153958099894226
XGBoost,XGB_06_SUBSAMPLED,3,0.9294322704264152,0.774527934230858,0.9563058236858276,0.7667698658410733,0.6511831726555652,0.704265402843602,0.7186678352322524,7.186678352322524,7.547574200085364
XGBoost,XGB_06_SUBSAMPLED,4,0.9290635230995133,0.7803823613349683,0.95668520131399,0.7744897959183673,0.6646234676007006,0.7153628652214892,0.723292469352014,7.232924693520141,7.610745699959807
XGBoost,XGB_06_SUBSAMPLED,5,0.9315724146605039,0.7592315499253292,0.9500479166496023,0.745158002038736,0.6406660823838738,0.6889726672950047,0.6993865030674846,6.9932405784399645,6.730521899997257
XGBoost,XGB_07_REGULARIZED,1,0.9095288624142369,0.7725184702418729,0.9541909569647755,0.7611496531219029,0.6730937773882559,0.7144186046511628,0.7116564417177914,7.116564417177915,7.3053691000677645
XGBoost,XGB_07_REGULARIZED,2,0.9067160397972288,0.7795671905421422,0.9576408915705837,0.7681159420289855,0.6503067484662577,0.7043189368770764,0.7116564417177914,7.116564417177915,7.254057200043462
XGBoost,XGB_07_REGULARIZED,3,0.9118244914874318,0.7791075842410073,0.9573459620665767,0.7727737973387923,0.6617002629272568,0.7129367327667611,0.7186678352322524,7.186678352322524,6.758743499987759
XGBoost,XGB_07_REGULARIZED,4,0.9093609128275995,0.7838146998775718,0.9575922869772134,0.7690721649484537,0.6532399299474606,0.7064393939393939,0.7241681260945709,7.241681260945709,7.991985699976794
XGBoost,XGB_07_REGULARIZED,5,0.9129220737150769,0.7603042419694352,0.9495909265262356,0.7505133470225873,0.6406660823838738,0.6912529550827423,0.7020157756354075,7.019530956554401,6.023638100014068
XGBoost,XGB_08_STRONG_REGULARIZATION,1,0.8559405300559754,0.7770899263993891,0.9550812345635771,0.7642357642357642,0.670464504820333,0.7142857142857143,0.7204206836108676,7.204206836108677,6.895218999939971
XGBoost,XGB_08_STRONG_REGULARIZATION,2,0.8543971409646439,0.7825616464989074,0.9579696268788905,0.7659352142110762,0.642418930762489,0.6987607244995233,0.7151621384750219,7.151621384750219,6.171274499967694
XGBoost,XGB_08_STRONG_REGULARIZATION,3,0.8556411108973488,0.7783007331583005,0.9574143578304306,0.7700915564598169,0.663453111305872,0.7128060263653484,0.7230499561787905,7.230499561787906,7.448582200100645
XGBoost,XGB_08_STRONG_REGULARIZATION,4,0.8541891592849571,0.7854079126207565,0.9592966747331327,0.7676560900716479,0.6567425569176882,0.7078810759792354,0.7250437828371279,7.250437828371279,8.739631599979475
XGBoost,XGB_08_STRONG_REGULARIZATION,5,0.8629184898056647,0.7602691769456889,0.9499367298067353,0.7533678756476684,0.6371603856266433,0.6904083570750238,0.7028921998247152,7.028294415925879,9.059808299993165
XGBoost,XGB_09_BALANCED,1,0.8883297680919914,0.7753397255920361,0.9547165152419306,0.7605633802816901,0.6625766871165644,0.7081967213114754,0.7160385626643295,7.160385626643295,10.671401700004935
XGBoost,XGB_09_BALANCED,2,0.8851145102475984,0.7780520633081554,0.9575754581710242,0.765625,0.6441717791411042,0.6996668253212756,0.7072743207712533,7.072743207712533,8.95047090004664
XGBoost,XGB_09_BALANCED,3,0.8862467673119222,0.7812467351779339,0.9582255664410826,0.7849794238683128,0.6687116564417178,0.7221959299574066,0.7195442594215601,7.1954425942156,9.595514800050296
XGBoost,XGB_09_BALANCED,4,0.8880440522579336,0.7844943132067689,0.9588879681733861,0.7725409836065574,0.660245183887916,0.7119924457034938,0.7206654991243433,7.2066549912434335,8.332136300043203
XGBoost,XGB_09_BALANCED,5,0.8947696513350518,0.7635780654016383,0.9509076976672897,0.7494866529774127,0.6397896581945661,0.6903073286052009,0.7028921998247152,7.028294415925879,8.0644327000482
