feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
last_day_rch_amt_7,0.6297041065622485,0.007642400075958522,5,1.0
vol_2g_mb_8,0.5937231694113512,0.0028778479478850936,5,1.0
total_og_mou_6,0.5260137017876951,0.004612468552790867,0,0.0
aon,0.6359412268683451,0.010407125969451269,5,1.0
loc_og_t2m_mou_6,0.5990128774732149,0.004973592766888786,5,1.0
std_og_mou_min_6_8,0.5246456031888935,0.005319655424500113,0,0.0
std_og_t2m_mou_6,0.5772407233559654,0.0077829048800908286,5,1.0
roam_ic_mou_std_6_8,0.5927465386561618,0.0012841477887499525,5,1.0
voice_inactive_6,0.577558893723684,0.004388371939004314,5,1.0
ic_others_8,0.5921327185074896,0.005306718731182904,5,1.0
fb_user_8,0.506673764873862,0.0016901333717100056,0,0.0
roam_ic_mou_8,0.6001239311518478,0.006065329196675006,5,1.0
std_og_t2t_mou_8,0.6253731321605696,0.003303846778525476,5,1.0
loc_og_t2f_mou_6,0.5974617943085409,0.00399527938630081,5,1.0
vol_2g_mb_pct_change_6_to_8,0.5731553118207581,0.005406955854411606,5,1.0
total_activity_6,0.5586332889023334,0.005715455402178123,4,0.8
total_rech_data_8,0.5552479609001557,0.0021589888899913117,5,1.0
onnet_mou_6,0.538475840730041,0.006750113308529853,1,0.2
roam_og_mou_std_6_8,0.6078152545126397,0.0014765125392116186,5,1.0
no_recharge_count_7,0.5411484319685433,0.00429470547230206,0,0.0
max_rech_data_7,0.518407167660349,0.002943854936665891,0,0.0
roam_og_mou_7,0.5904207756794979,0.00232312848338619,5,1.0
voice_rech_recency_8_high_flag,0.5705291662096211,0.005210393074031365,5,1.0
total_rech_data_7,0.5081291416717855,0.003939776871434652,0,0.0
fb_user_6,0.5018778061502355,0.0010172553710271323,0,0.0
av_rech_amt_data_7,0.5194601798850906,0.0026792728971320456,0,0.0
recharge_count_std_6_8,0.5946929329923971,0.005773993481047426,5,1.0
vol_3g_mb_pct_change_6_to_8,0.5463849312416855,0.0023146607382151523,1,0.2
spl_ic_mou_8,0.5586031285116089,0.0019055943556729592,5,1.0
roam_ic_mou_change_7_to_8,0.5275461702869683,0.007946470090743899,0,0.0
max_rech_data_max_6_8,0.5222372883235078,0.007646835464296709,0,0.0
count_rech_2g_8,0.5204190987907027,0.003664954218624672,0,0.0
roam_ic_mou_change_6_to_8,0.5711688873039804,0.008700551112370992,5,1.0
roam_ic_mou_pct_change_7_to_8,0.5622132487526185,0.006632370899507004,5,1.0
isd_ic_mou_change_6_to_8,0.5199773499978073,0.001714004630068595,0,0.0
roam_og_mou_change_7_to_8,0.5251837823731915,0.008257922347700534,0,0.0
vol_3g_mb_8,0.5647053177911648,0.003592459612391856,5,1.0
voice_rech_recency_7_high_flag,0.5439742791753629,0.005980666694584645,2,0.4
av_rech_amt_data_max_6_8,0.525768750001689,0.008353152179079774,0,0.0
offnet_mou_6,0.513331053705405,0.0032230181548790777,0,0.0
std_ic_mou_6,0.5187529465168466,0.004231386313294357,0,0.0
fb_user_7,0.5029391593621961,0.002106976753188034,0,0.0
std_ic_t2m_mou_6,0.5223521843595327,0.003405677265849734,0,0.0
roam_og_mou_change_6_to_8,0.5641196494608667,0.008619788422200366,5,1.0
data_rech_recency_6,0.5046885308478453,0.0015614471197165185,0,0.0
roam_og_mou_pct_change_7_to_8,0.556445205034646,0.006204156238260896,4,0.8
roam_ic_mou_7,0.5844399897445045,0.00412898461580535,5,1.0
max_rech_data_6,0.5158892953464,0.0038521546062391552,0,0.0
data_rech_recency_7,0.5175219506490655,0.0034775268254880302,0,0.0
vol_2g_mb_min_6_8,0.5582559294355914,0.0020767911887772,5,1.0
