feature,permutation_importance_mean,permutation_importance_std,importance_rank
recharge_num_change_6_to_8,0.00045530439931873445,2.6737228064110936e-05,27.0
voice_rech_recency_7,0.0004503312569303919,1.9899842992512276e-05,28.0
arpu_change_6_to_8,0.00044563199774600993,3.5000237483835376e-05,29.0
total_og_mou_change_7_to_8,0.0004346094000272638,3.892656784072161e-05,30.0
arpu_8,0.0004285070900434507,2.684884657154953e-05,31.0
std_ic_mou_pct_change_7_to_8,0.00041122842334915253,2.4277249637552737e-05,32.0
recharge_num_pct_change_6_to_8,0.000404645616516297,2.3695298611470043e-05,33.0
total_ic_mou_change_7_to_8,0.00039276773440610757,5.1435578760310874e-05,34.0
loc_og_mou_change_6_to_8,0.0003834172657221968,2.51780092183751e-05,35.0
recharge_amt_pct_change_7_to_8,0.0003684161540927766,5.192358958655094e-05,36.0
std_ic_mou_8,0.00036724374178092044,5.591977657437122e-05,37.0
loc_ic_mou_change_6_to_8,0.00036188139694479646,5.9149974788963035e-05,38.0
total_rech_data_8,0.00035467394420802824,8.997159272532513e-05,39.0
roam_og_mou_change_6_to_8,0.00033913467610753313,2.9229330679689242e-05,40.0
max_rech_amt_7,0.0003333591039811123,2.819383220873437e-05,41.0
onnet_mou_8,0.0003209526753369607,3.480503196778231e-05,42.0
total_activity_change_6_to_8,0.00030850780694477995,2.1182786291830547e-05,43.0
total_activity_change_7_to_8,0.0002997147146058587,8.762692342723877e-06,44.0
arpu_7,0.0002876638536301046,2.1235447214165134e-05,45.0
loc_ic_t2f_mou_6,0.00028150388402437,4.7218018305362516e-05,46.0
total_og_mou_7,0.00027790976759289876,1.1777737406869197e-05,47.0
offnet_mou_8,0.00027448863002723647,5.314655381333959e-05,48.0
total_og_mou_8,0.00027250898300881234,4.146852721366801e-05,49.0
loc_og_mou_min_6_8,0.00027223029483631757,3.834283688464443e-05,50.0
total_activity_pct_change_6_to_8,0.000268242170988664,4.556203382199991e-05,51.0
loc_ic_t2f_mou_8,0.00026703131892888974,3.945948954940868e-05,52.0
recharge_amt_pct_change_6_to_8,0.00026062149096164335,2.1564835628135317e-05,53.0
spl_og_mou_7,0.0002562681895086572,3.3634801403839446e-05,54.0
std_og_mou_change_7_to_8,0.000254548010788791,4.9844739395908194e-05,55.0
arpu_pct_change_7_to_8,0.0002477537853422751,4.027865428410132e-05,56.0
loc_og_mou_pct_change_7_to_8,0.00024687928107698377,1.197337987973038e-05,57.0
loc_og_t2m_mou_7,0.00022949490507575553,4.20144796316795e-05,58.0
std_ic_t2f_mou_8,0.00022589117870743802,3.398959313796405e-05,59.0
spl_og_mou_8,0.00022546834148011728,3.2825561356357914e-05,60.0
recharge_value_per_transaction_8,0.00022499745456807662,3.1753631274662e-05,61.0
loc_ic_t2f_mou_7,0.00022452656765592494,6.610944776004577e-05,62.0
recharge_amount_min_6_8,0.0002241421701766555,2.8179465170939513e-05,63.0
total_activity_7,0.0002161370926702988,5.44004298269972e-05,64.0
loc_ic_t2m_mou_7,0.00021227389800348995,5.000346184792329e-05,65.0
total_ic_mou_change_6_to_8,0.00021218740857054108,2.5153117421973303e-05,66.0
std_ic_t2m_mou_8,0.00020792059655039274,2.0085076360507346e-05,67.0
max_rech_amt_8,0.00020721907115068828,2.1415321417628353e-05,68.0
loc_og_mou_max_6_8,0.00019958878118671032,3.232055403353212e-05,69.0
roam_ic_mou_pct_change_7_to_8,0.00019896413528288636,1.9477030905485067e-05,70.0
loc_ic_mou_std_6_8,0.00019776289316000283,3.9858207343862827e-05,71.0
vol_3g_mb_8,0.0001931885631564212,6.482938988399573e-05,72.0
arpu_avg_6_8,0.00019017104294398733,6.910767543439135e-06,73.0
std_og_t2t_mou_8,0.00017829316083379788,1.1852936945225353e-05,74.0
total_rech_num_7,0.00017642883305923895,2.9245256681143295e-05,75.0
loc_og_t2f_mou_8,0.00017516993131456716,4.153849656248624e-05,76.0
loc_ic_t2t_mou_7,0.00017156620494616082,3.09077684978743e-05,77.0
total_ic_mou_pct_change_7_to_8,0.0001694424088731328,3.0348031880663946e-05,78.0
arpu_recent_vs_baseline,0.00016082229539986502,3.65956065616446e-05,79.0
loc_ic_t2m_mou_6,0.0001588810881294256,1.1672913195335813e-05,80.0
loc_og_mou_8,0.00015887147819242385,3.4532337443447555e-05,81.0
recharge_amt_change_6_to_8,0.0001587657688856492,1.3981431230218123e-05,82.0
loc_ic_t2t_mou_8,0.00015695910073298958,5.462956811569927e-05,83.0
recharge_amount_recent_vs_baseline,0.00015674768211935142,3.615933888415736e-05,84.0
total_og_mou_min_6_8,0.00015647860388383615,3.409949880730929e-05,85.0
std_ic_t2t_mou_8,0.00015308629612897917,1.1683525677272719e-05,86.0
std_og_mou_8,0.000150703031757482,1.6197850249610814e-05,87.0
total_voice_mou_6,0.00014953061944562586,1.9762783417553175e-05,88.0
std_og_mou_change_6_to_8,0.00014880987417194015,2.4373119194174044e-05,89.0
recharge_amount_recent_vs_baseline_pct,0.000147358773687567,2.9515062517769598e-05,90.0
loc_ic_mou_8,0.0001472818941917309,2.5291692790695385e-05,91.0
loc_og_mou_std_6_8,0.00014457189196277477,1.8351970624058752e-05,92.0
std_og_t2t_mou_6,0.00014363972807542868,3.0492840369875666e-05,93.0
loc_og_mou_change_7_to_8,0.00014133334319965662,1.609699154684009e-05,94.0
total_og_mou_pct_change_7_to_8,0.00014086245628746051,9.01238929522276e-06,95.0
total_ic_mou_max_6_8,0.0001299743976865164,1.7260581140901444e-05,96.0
loc_og_t2t_mou_7,0.00012911911329507308,1.545818629919399e-05,97.0
recharge_amount_std_6_8,0.0001286386164460529,1.8540240994481924e-05,98.0
recharge_count_recent_vs_baseline,0.00012411233612725782,3.102420474918466e-05,99.0
recharge_count_min_6_8,0.00012251708658821413,1.1855227393443165e-05,100.0
loc_og_mou_6,0.00012196932018027073,3.1508558074249116e-05,101.0
total_ic_mou_pct_change_6_to_8,0.00012144077364621975,3.8070364228392936e-05,102.0
roam_ic_mou_std_6_8,0.00012053743956985663,1.2916863545651213e-05,103.0
std_ic_mou_change_6_to_8,0.00011845208324465784,2.058486635943281e-05,104.0
recharge_amt_change_7_to_8,0.0001132819371481908,1.227842359768311e-05,105.0
roam_og_mou_min_6_8,0.0001116194180502017,9.036253944786983e-06,106.0
arpu_recent_vs_baseline_pct,0.00011049505542328752,1.742050189565331e-05,107.0
loc_og_t2f_mou_7,0.00010680483962204335,3.9569869797005234e-05,108.0
offnet_mou_7,0.0001066510806303267,2.2505881529280547e-05,109.0
total_ic_mou_7,0.00010221128974448046,1.4525234574367022e-05,110.0
aug_vbc_3g,0.00010184611213917005,5.534469919885622e-05,111.0
total_ic_mou_6,9.725256226151835e-05,2.231689328247063e-05,112.0
roam_og_mou_6,9.654142692487877e-05,1.0353760554466171e-05,113.0
std_ic_mou_change_7_to_8,9.639727787016383e-05,2.3925508679858637e-05,114.0
loc_ic_mou_7,9.485007801601775e-05,1.6421158202487596e-05,115.0
loc_og_t2t_mou_6,9.360078620832546e-05,1.2046660686113975e-05,116.0
vol_2g_mb_pct_change_6_to_8,9.28512111236568e-05,3.0360551491120536e-05,117.0
std_og_mou_6,9.141933051335372e-05,3.588054489469977e-05,118.0
arpu_min_6_8,9.048716662600765e-05,2.561076873181534e-05,119.0
total_og_mou_pct_change_6_to_8,8.075230046280523e-05,3.183372819272795e-05,120.0
total_rech_amt_7,7.712935422050648e-05,2.171108729382335e-05,121.0
roam_og_mou_std_6_8,7.542839537471036e-05,7.864452088613898e-06,122.0
total_rech_amt_8,7.525541650903467e-05,1.0311036956758514e-05,123.0
loc_ic_mou_6,7.516892707606359e-05,1.8835785373802625e-05,124.0
roam_ic_mou_change_6_to_8,6.968165305920593e-05,1.9757301263597572e-05,125.0
std_ic_t2f_mou_7,6.48959044419417e-05,1.211795906360177e-05,126.0
loc_ic_t2m_mou_8,6.42232088532202e-05,2.937092320540723e-05,127.0
std_og_t2m_mou_6,6.36273927603126e-05,1.1274852165417518e-05,128.0
roam_ic_mou_8,6.0379234060303764e-05,1.2351689050937147e-05,129.0
total_voice_mou_7,5.702536605345365e-05,1.56413171751025e-05,130.0
std_og_mou_pct_change_6_to_8,5.5526215884182936e-05,1.971622317573966e-05,131.0
roam_ic_mou_7,5.476703086251256e-05,7.638866309527388e-06,132.0
loc_og_t2f_mou_6,5.222039756227481e-05,7.757808751186355e-06,133.0
recharge_count_trend_score,4.995245243442081e-05,4.485854351990862e-06,134.0
total_voice_mou_8,4.990440274954544e-05,1.1293642753135482e-05,135.0
recharge_count_recent_vs_baseline_pct,4.0803792427279714e-05,8.510487704417248e-06,136.0
total_rech_data_8_missing,3.9650599989338176e-05,1.0680155555743905e-05,137.0
av_rech_amt_data_std_6_8,3.8122620009128916e-05,1.062537491853395e-05,138.0
loc_ic_mou_max_6_8,3.796886101741226e-05,4.0338161215592854e-06,139.0
loc_og_t2m_mou_6,3.741148467246713e-05,1.1268510645958667e-05,140.0
arpu_trend_score,3.6142972990727e-05,1.6704779616431323e-05,141.0
recharge_amount_trend_score,2.9761974834485726e-05,1.4354704847002741e-05,142.0
arpu_pct_change_6_to_8,2.312150837964211e-05,2.1122860092469877e-05,143.0
std_ic_mou_pct_change_6_to_8,2.2727500963437564e-05,8.68081092104596e-06,144.0
loc_og_mou_7,2.2343103484057104e-05,2.6770186721740152e-06,145.0
loc_ic_mou_min_6_8,2.2208564366343885e-05,3.953224861730925e-06,146.0
std_ic_t2f_mou_6,1.662519097962445e-05,1.0952798937140707e-06,147.0
loc_ic_t2t_mou_6,1.4520614780444419e-05,9.464612222738125e-06,148.0
roam_ic_mou_min_6_8,1.342508196442438e-05,2.304902867697719e-06,149.0
loc_ic_mou_change_7_to_8,1.176256286654631e-05,0.00011336211522553161,150.0
behavioral_decline_count,1.1349335576227304e-05,4.939582393855126e-06,151.0
vol_2g_mb_min_6_8,9.965504650910617e-06,6.734406327226602e-06,152.0
total_og_mou_change_6_to_8,9.50422767562742e-06,1.8094773862782517e-06,153.0
vol_2g_mb_change_6_to_8,7.832098640725427e-06,6.750664381372622e-06,154.0
vol_2g_mb_8,6.640466454976846e-06,2.739446332675167e-05,155.0
loc_ic_mou_pct_change_6_to_8,8.648943284894628e-07,8.329492915666489e-06,156.0
loc_og_mou_pct_change_6_to_8,0.0,0.0,157.0
voice_rech_recency_8_high_flag,0.0,0.0,157.0
spl_og_mou_8_missing,0.0,0.0,157.0
no_recharge_amt_8,0.0,0.0,157.0
total_activity_trend_score,0.0,0.0,157.0
roam_og_mou_pct_change_7_to_8,0.0,0.0,157.0
voice_inactive_7,0.0,0.0,157.0
no_recharge_amt_7,0.0,0.0,157.0
ic_others_8,0.0,0.0,157.0
sachet_2g_8,0.0,0.0,157.0
voice_inactive_6,0.0,0.0,157.0
no_recharge_count_8,-1.1541534315639978e-05,3.978560335695341e-07,168.0
voice_inactive_8,-0.0005144199266655213,7.471810978638372e-06,169.0
