feature,mutual_information,mi_rank
loc_og_t2c_mou_8,0.0055715541449496975,210
count_rech_2g_7,0.005554413321810614,211
total_rech_data_6,0.005501412020692653,212
roam_og_mou_6,0.005479198447385647,213
arpu_max_6_8,0.005468810193059559,214
sachet_2g_8,0.005440601859702632,215
av_rech_amt_data_6,0.005421017152264618,216
voice_rech_recency_6_high_flag,0.005360210090591178,217
vol_2g_mb_7,0.005320583550997293,218
av_rech_amt_data_std_6_8,0.0052728037815577,219
recharge_count_max_6_8,0.0050467057273615445,220
total_rech_data_std_6_8,0.005012471532560792,221
std_ic_t2f_mou_7,0.004937275076701386,222
av_rech_amt_data_pct_change_6_to_8,0.004884209727193944,223
vol_3g_mb_min_6_8,0.004829861840056182,224
monthly_2g_8,0.004745640900098325,225
std_ic_t2t_mou_7,0.004361848188826123,226
isd_ic_mou_pct_change_6_to_8,0.004309625696691688,227
std_og_t2f_mou_8,0.004088555281832829,228
isd_ic_mou_pct_change_7_to_8,0.003935664553015306,229
total_rech_data_pct_change_6_to_8,0.003920595362684853,230
count_rech_2g_6,0.003646249143629987,231
arpu_2g_7,0.0036248480571199337,232
total_rech_data_max_6_8,0.003598694320766649,233
last_day_rch_amt_6,0.003598118208696821,234
total_rech_num_6,0.003551203368211464,235
max_rech_data_pct_change_6_to_8,0.003536014635850737,236
count_rech_3g_8,0.003275268332743053,237
isd_og_mou_change_6_to_8,0.0032165917526001397,238
max_rech_data_std_6_8,0.0030159448897206786,239
ic_others_7,0.0029648175669094723,240
roam_ic_mou_6,0.002943061085572962,241
std_ic_t2f_mou_6,0.0029034767460818234,242
spl_og_mou_6,0.0026340956063923837,243
data_rech_recency_8_high_flag,0.0024806226993965286,244
loc_og_t2c_mou_7,0.0024667562742957116,245
isd_og_mou_std_6_8,0.002415860144799664,246
arpu_3g_6,0.002396017919660931,247
arpu_3g_7,0.002331598454445194,248
no_recharge_amt_6,0.002219152248103873,249
monthly_3g_8,0.00203602822159743,250
isd_ic_mou_6,0.001953346752294083,251
std_og_t2f_mou_7,0.0019194120338883458,252
monthly_2g_7,0.0019100014330755144,253
voice_rech_recency_6,0.0017710607981269444,254
std_og_t2t_mou_6,0.0017471540136453356,255
vol_2g_mb_std_6_8,0.00172590362663394,256
no_recharge_count_6,0.001668891136309636,257
isd_og_mou_pct_change_7_to_8,0.0016148904227579752,258
night_pck_user_7,0.0015804665034007126,259
spl_ic_mou_7,0.0015715905898130433,260
spl_og_mou_7,0.0014543185999915664,261
jun_vbc_3g,0.0012939335964454735,262
vol_3g_mb_6,0.0012549969098403224,263
count_rech_3g_6,0.0011652036142042466,264
sachet_3g_6,0.0011230591738171647,265
std_ic_t2o_mou_6,0.0010923514901237663,266
isd_og_mou_8,0.001031613656105712,267
jul_vbc_3g,0.0010296652695023223,268
loc_ic_t2o_mou,0.0009786609855140238,269
isd_ic_mou_7,0.0009679573946923536,270
isd_og_mou_pct_change_6_to_8,0.0008999573124908178,271
count_rech_3g_7,0.0008977728204098145,272
vol_3g_mb_std_6_8,0.0008561968887024207,273
std_ic_t2t_mou_6,0.0007767889546896889,274
spl_ic_mou_6,0.0007556342939263327,275
