feature,coefficient,absolute_coefficient,direction
loc_og_t2f_mou_7,0.041172674556273624,0.041172674556273624,Higher feature value associated with higher churn probability
roam_ic_mou_8,-0.04066637036781042,0.04066637036781042,Higher feature value associated with lower churn probability
no_recharge_amt_7,0.04040424228537708,0.04040424228537708,Higher feature value associated with higher churn probability
total_og_mou_8,-0.0402205614282555,0.0402205614282555,Higher feature value associated with lower churn probability
loc_ic_mou_pct_change_7_to_8,0.037488876939761245,0.037488876939761245,Higher feature value associated with higher churn probability
total_ic_mou_6,-0.037157849371350284,0.037157849371350284,Higher feature value associated with lower churn probability
total_activity_change_6_to_8,0.036525980333230075,0.036525980333230075,Higher feature value associated with higher churn probability
total_og_mou_pct_change_6_to_8,0.036125282659561234,0.036125282659561234,Higher feature value associated with higher churn probability
recharge_num_pct_change_6_to_8,0.03156887751504032,0.03156887751504032,Higher feature value associated with higher churn probability
total_activity_pct_change_6_to_8,0.029259932190434455,0.029259932190434455,Higher feature value associated with higher churn probability
total_activity_7,-0.028860095035020312,0.028860095035020312,Higher feature value associated with lower churn probability
std_ic_t2t_mou_8,0.02790295721605207,0.02790295721605207,Higher feature value associated with higher churn probability
recharge_amt_pct_change_7_to_8,-0.027041382254764552,0.027041382254764552,Higher feature value associated with lower churn probability
loc_ic_t2f_mou_6,-0.025126690805248205,0.025126690805248205,Higher feature value associated with lower churn probability
total_og_mou_pct_change_7_to_8,-0.024459985031250825,0.024459985031250825,Higher feature value associated with lower churn probability
loc_og_mou_change_7_to_8,0.02442400242719657,0.02442400242719657,Higher feature value associated with higher churn probability
std_og_t2t_mou_6,0.023529571154588737,0.023529571154588737,Higher feature value associated with higher churn probability
arpu_change_6_to_8,0.021512429756590724,0.021512429756590724,Higher feature value associated with higher churn probability
vol_2g_mb_8,-0.02070664990552293,0.02070664990552293,Higher feature value associated with lower churn probability
std_ic_t2m_mou_8,0.02049386936798618,0.02049386936798618,Higher feature value associated with higher churn probability
recharge_amt_pct_change_6_to_8,0.019475286731488014,0.019475286731488014,Higher feature value associated with higher churn probability
std_ic_t2f_mou_6,-0.01872903284895782,0.01872903284895782,Higher feature value associated with lower churn probability
roam_ic_mou_7,0.018620315384858817,0.018620315384858817,Higher feature value associated with higher churn probability
arpu_pct_change_6_to_8,-0.017664247875200666,0.017664247875200666,Higher feature value associated with lower churn probability
recharge_value_per_transaction_8,-0.01594513665987222,0.01594513665987222,Higher feature value associated with lower churn probability
std_ic_mou_change_7_to_8,0.015117760612598886,0.015117760612598886,Higher feature value associated with higher churn probability
loc_ic_mou_std_6_8,0.014703781162956654,0.014703781162956654,Higher feature value associated with higher churn probability
loc_og_t2m_mou_7,0.014196166721623691,0.014196166721623691,Higher feature value associated with higher churn probability
last_day_rch_amt_7,-0.01367865076159664,0.01367865076159664,Higher feature value associated with lower churn probability
arpu_pct_change_7_to_8,-0.013441971415796132,0.013441971415796132,Higher feature value associated with lower churn probability
loc_og_t2f_mou_8,0.012845948481714319,0.012845948481714319,Higher feature value associated with higher churn probability
ic_others_8,-0.012738476535409824,0.012738476535409824,Higher feature value associated with lower churn probability
loc_ic_t2t_mou_8,0.009968801454800912,0.009968801454800912,Higher feature value associated with higher churn probability
av_rech_amt_data_std_6_8,0.008499704274546003,0.008499704274546003,Higher feature value associated with higher churn probability
total_voice_mou_7,0.0071744838774687285,0.0071744838774687285,Higher feature value associated with higher churn probability
offnet_mou_8,-0.005859935949852369,0.005859935949852369,Higher feature value associated with lower churn probability
roam_og_mou_6,-0.005776656869731396,0.005776656869731396,Higher feature value associated with lower churn probability
roam_og_mou_pct_change_7_to_8,0.005505746829956959,0.005505746829956959,Higher feature value associated with higher churn probability
loc_og_mou_pct_change_6_to_8,-0.005016138772202166,0.005016138772202166,Higher feature value associated with lower churn probability
total_ic_mou_pct_change_6_to_8,0.004885463946250184,0.004885463946250184,Higher feature value associated with higher churn probability
std_og_mou_change_7_to_8,-0.004847125613694834,0.004847125613694834,Higher feature value associated with lower churn probability
std_ic_mou_8,-0.004223529430217025,0.004223529430217025,Higher feature value associated with lower churn probability
recharge_amt_change_6_to_8,-0.003984385348401506,0.003984385348401506,Higher feature value associated with lower churn probability
roam_ic_mou_min_6_8,0.003889581285694561,0.003889581285694561,Higher feature value associated with higher churn probability
total_activity_pct_change_7_to_8,0.0038782529003977256,0.0038782529003977256,Higher feature value associated with higher churn probability
loc_og_mou_max_6_8,0.0036342189622131276,0.0036342189622131276,Higher feature value associated with higher churn probability
std_og_mou_pct_change_7_to_8,0.0036014798424139623,0.0036014798424139623,Higher feature value associated with higher churn probability
loc_ic_mou_pct_change_6_to_8,-0.0028207743935241055,0.0028207743935241055,Higher feature value associated with lower churn probability
roam_ic_mou_change_6_to_8,0.002244583329839063,0.002244583329839063,Higher feature value associated with higher churn probability
roam_ic_mou_pct_change_7_to_8,-0.0018417019489651897,0.0018417019489651897,Higher feature value associated with lower churn probability
std_ic_mou_pct_change_6_to_8,0.0012011730659764823,0.0012011730659764823,Higher feature value associated with higher churn probability
std_ic_mou_change_6_to_8,-0.0008949595304839299,0.0008949595304839299,Higher feature value associated with lower churn probability
std_ic_mou_std_6_8,0.0002725111899865672,0.0002725111899865672,Higher feature value associated with higher churn probability
