feature,status,reason,selection_stage,correlation_group,missing_pct_dev,mutual_information,mi_rank,mean_cv_auc,cv_auc_std,stable_folds,stability_rate,permutation_importance_mean,permutation_importance_std,feature_family
count_rech_2g_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.008485892046975696,179.0,0.5204190987907027,0.003664954218624672,0.0,0.0,,,Recharge Activity
count_rech_2g_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Recharge Activity
count_rech_3g_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.0011652036142042466,264.0,0.5032134908399426,0.0016436654761441793,0.0,0.0,,,Recharge Activity
count_rech_3g_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
count_rech_3g_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.0008977728204098145,272.0,0.5144271699636059,0.0023643321605656452,0.0,0.0,,,Recharge Activity
count_rech_3g_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
count_rech_3g_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.003275268332743053,237.0,0.5355090666798917,0.0029375247359593464,0.0,0.0,,,Recharge Activity
count_rech_3g_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Recharge Activity
data_rech_recency_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.007592789362498742,192.0,0.5046885308478453,0.0015614471197165185,0.0,0.0,,,Recharge Activity
data_rech_recency_6_high_flag,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0006396380098749876,279.0,0.5080649815566856,0.0025977516045702295,0.0,0.0,,,Recharge Activity
data_rech_recency_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.007060036850363494,196.0,0.5175219506490655,0.0034775268254880302,0.0,0.0,,,Recharge Activity
data_rech_recency_7_high_flag,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0,308.0,,,,,,,Recharge Activity
data_rech_recency_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.021364294274852424,118.0,0.5167438924087198,0.0025316016429353314,0.0,0.0,,,Recharge Activity
data_rech_recency_8_high_flag,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0024806226993965286,244.0,0.5393524837866719,0.0010754715663247505,0.0,0.0,,,Recharge Activity
date_of_last_rech_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,1.6232432722012893,,,,,,,,,Recharge Activity
date_of_last_rech_6_missing,Excluded,Redundant with preferred feature: no_recharge_count_6,Correlation redundancy,7.0,0.0,,,,,,,,,Recharge Activity
date_of_last_rech_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,1.757174235254201,,,,,,,,,Recharge Activity
date_of_last_rech_7_missing,Excluded,Redundant with preferred feature: no_recharge_count_7,Correlation redundancy,8.0,0.0,,,,,,,,,Recharge Activity
date_of_last_rech_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,3.5482776478151394,,,,,,,,,Recharge Activity
date_of_last_rech_8_missing,Excluded,Redundant with preferred feature: no_recharge_count_8,Correlation redundancy,9.0,0.0,,,,,,,,,Recharge Activity
date_of_last_rech_data_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,,,,,,,,,Recharge Activity
date_of_last_rech_data_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
date_of_last_rech_data_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,,,,,,,,,Recharge Activity
date_of_last_rech_data_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
date_of_last_rech_data_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,,,,,,,,,Recharge Activity
date_of_last_rech_data_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Recharge Activity
max_rech_amt_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.006787542794765233,199.0,0.5351314886038366,0.008478811771836674,0.0,0.0,,,Recharge Activity
max_rech_data_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.007330240137504385,195.0,0.5158892953464,0.0038521546062391552,0.0,0.0,,,Recharge Activity
max_rech_data_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
max_rech_data_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.010137686782893063,168.0,0.518407167660349,0.002943854936665891,0.0,0.0,,,Recharge Activity
max_rech_data_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
max_rech_data_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.017399071057017768,125.0,0.5098206389624685,0.0036714848044238123,0.0,0.0,,,Recharge Activity
max_rech_data_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Recharge Activity
max_rech_data_avg_6_8,Excluded,Redundant with preferred feature: max_rech_data_max_6_8,Correlation redundancy,30.0,62.70111966285113,,,,,,,,,Recharge Activity
max_rech_data_change_6_to_8,Excluded,Redundant with preferred feature: max_rech_data_pct_change_6_to_8,Correlation redundancy,31.0,82.62647547277629,,,,,,,,,Recharge Activity
max_rech_data_max_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,30.0,62.70111966285113,0.008512196514991244,178.0,0.5222372883235078,0.007646835464296709,0.0,0.0,,,Recharge Activity
max_rech_data_min_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,62.70111966285113,0.006558296148650777,201.0,0.5055124122778725,0.003361165469086942,0.0,0.0,,,Recharge Activity
max_rech_data_pct_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,31.0,82.62647547277629,0.003536014635850737,236.0,0.5091409752790094,0.0018993218406747432,0.0,0.0,,,Recharge Activity
max_rech_data_std_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,62.70111966285113,0.0030159448897206786,239.0,0.5355879420742014,0.0024301934486245917,0.0,0.0,,,Recharge Activity
no_recharge_amt_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.002219152248103873,249.0,0.5248781003417153,0.004248248179624293,0.0,0.0,,,Recharge Activity
no_recharge_count_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,7.0,0.0,0.001668891136309636,257.0,0.5138920818748691,0.0020418016490325102,0.0,0.0,,,Recharge Activity
no_recharge_count_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,8.0,0.0,0.010153908306141934,167.0,0.5411484319685433,0.00429470547230206,0.0,0.0,,,Recharge Activity
recharge_amount_avg_6_8,Excluded,Redundant with preferred feature: arpu_avg_6_8,Correlation redundancy,12.0,0.0,,,,,,,,,Recharge Activity
recharge_amount_max_6_8,Excluded,Redundant with preferred feature: arpu_max_6_8,Correlation redundancy,13.0,0.0,,,,,,,,,Recharge Activity
recharge_count_avg_6_8,Excluded,Redundant with preferred feature: recharge_count_max_6_8,Correlation redundancy,14.0,0.0,,,,,,,,,Recharge Activity
recharge_count_max_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,14.0,0.0,0.0050467057273615445,220.0,0.5275623361828016,0.005145973482506473,0.0,0.0,,,Recharge Activity
total_rech_amt_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.006901205186678361,198.0,0.5073075042803141,0.002092863181523979,0.0,0.0,,,Recharge Activity
total_rech_data_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.005501412020692653,212.0,0.5087732379834452,0.0051703564397955915,0.0,0.0,,,Recharge Activity
total_rech_data_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
total_rech_data_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.009269592280349848,171.0,0.5081291416717855,0.003939776871434652,0.0,0.0,,,Recharge Activity
total_rech_data_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
total_rech_data_avg_6_8,Excluded,Redundant with preferred feature: total_rech_data_max_6_8,Correlation redundancy,28.0,62.70111966285113,,,,,,,,,Recharge Activity
total_rech_data_change_6_to_8,Excluded,Redundant with preferred feature: total_rech_data_pct_change_6_to_8,Correlation redundancy,29.0,82.62647547277629,,,,,,,,,Recharge Activity
total_rech_data_max_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,28.0,62.70111966285113,0.003598694320766649,233.0,0.5139033074850516,0.00706782677407157,0.0,0.0,,,Recharge Activity
total_rech_data_min_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,62.70111966285113,0.006029150906546876,206.0,0.5076578706631613,0.0017171366538923669,0.0,0.0,,,Recharge Activity
total_rech_data_pct_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,29.0,82.62647547277629,0.003920595362684853,230.0,0.507284502826286,0.0032737009679830596,0.0,0.0,,,Recharge Activity
total_rech_data_std_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,62.70111966285113,0.005012471532560792,221.0,0.5459996923008438,0.0036288448976688494,1.0,0.2,,,Recharge Activity
total_rech_num_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.003551203368211464,235.0,0.5040761306179993,0.0013366830605336495,0.0,0.0,,,Recharge Activity
voice_rech_recency_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,1.6232432722012893,0.0017710607981269444,254.0,0.522107106752401,0.006324639097516058,0.0,0.0,,,Recharge Activity
voice_rech_recency_6_high_flag,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.005360210090591178,217.0,0.5109631002032767,0.006972378004602328,0.0,0.0,,,Recharge Activity
voice_rech_recency_7_high_flag,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.008055585707902324,185.0,0.5439742791753629,0.005980666694584645,2.0,0.4,,,Recharge Activity
ic_others_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,4.017928891587349,0.0007508139973801953,276.0,0.5247508762072103,0.007112445537890851,0.0,0.0,,,Voice / Call Behavior
ic_others_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,3.8804264361863607,0.0029648175669094723,240.0,0.5475283318237777,0.0032105808414542897,1.0,0.2,,,Voice / Call Behavior
isd_ic_mou_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,4.017928891587349,0.001953346752294083,251.0,0.507612445972371,0.003984271570830199,0.0,0.0,,,Voice / Call Behavior
isd_ic_mou_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,3.8804264361863607,0.0009679573946923536,270.0,0.5259474465296508,0.0033737703456452003,0.0,0.0,,,Voice / Call Behavior
isd_ic_mou_8_missing,Excluded,Redundant with preferred feature: spl_og_mou_8_missing,Correlation redundancy,11.0,0.0,,,,,,,,,Voice / Call Behavior
isd_ic_mou_avg_6_8,Excluded,Redundant with preferred feature: isd_ic_mou_std_6_8,Correlation redundancy,24.0,1.1071626279040698,,,,,,,,,Voice / Call Behavior
isd_ic_mou_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,8.084072929873749,0.008223106102319688,182.0,0.5199773499978073,0.001714004630068595,0.0,0.0,,,Voice / Call Behavior
isd_ic_mou_change_7_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,6.889408739441776,0.006572837238858487,200.0,0.5145071261043478,0.005432558101045079,0.0,0.0,,,Voice / Call Behavior
